City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,acapulco de juarez,16.8634,-99.8901,303.05,84,light rain,3.6,MX,7103
1,longyearbyen,78.2186,15.6401,280.06,93,overcast clouds,3.6,SJ,1663
2,chonchi,-42.6128,-73.8092,284.33,99,light rain,1.11,CL,2043794
3,punta arenas,-53.15,-70.9167,273.77,85,overcast clouds,6.26,CL,47745
4,fort bragg,35.139,-79.006,302.54,77,clear sky,1.54,US,5387
5,waitangi,-43.9535,-176.5597,286.38,87,broken clouds,2.24,NZ,2040615
6,blackmans bay,-43.0167,147.3167,283.56,63,broken clouds,1.67,AU,2011256
7,college,64.8569,-147.8028,294.14,47,shower rain,3.09,US,7683
8,whitehorse,60.7161,-135.0538,288.72,44,broken clouds,7.72,CA,47668
9,kingston,17.997,-76.7936,301.68,84,few clouds,1.03,JM,2036521
10,albany,42.6001,-73.9662,293.38,81,broken clouds,2.72,US,2037353
11,laguna,38.421,-121.4238,307.46,40,clear sky,2.57,US,2002655
12,thompson,55.7435,-97.8558,289.24,72,scattered clouds,0.0,CA,935
13,villagarzon,1.0375,-76.6267,294.29,99,overcast clouds,1.98,CO,2084168
14,bethel,41.3712,-73.414,296.32,81,clear sky,0.0,US,2004826
15,iqaluit,63.7506,-68.5145,279.65,87,few clouds,1.34,CA,47658
16,iranshahr,27.2025,60.6848,307.34,14,clear sky,3.09,IR,7518
17,anadyr,64.75,177.4833,292.43,39,clear sky,6.0,RU,8872
18,avarua,-21.2078,-159.775,296.18,73,broken clouds,3.6,CK,7271
19,nerekhta,57.4588,40.5747,291.09,89,broken clouds,4.24,RU,2080888
20,nago,26.5881,127.9761,306.62,70,few clouds,2.86,JP,147649
21,san jose del cabo,23.0589,-109.6977,304.54,74,light rain,2.57,MX,2006274
22,yellowknife,62.456,-114.3525,291.24,72,smoke,5.66,CA,2041581
23,brownsburg,39.8434,-86.3978,298.4,79,overcast clouds,2.42,US,2009482
24,udachny,66.4167,112.4,290.07,63,light rain,6.63,RU,49565
25,dudinka,69.4058,86.1778,289.61,56,scattered clouds,2.38,RU,49144
26,palmer,42.1584,-72.3287,295.1,82,clear sky,0.0,US,2010865
27,geraldton,-28.7667,114.6,292.38,63,clear sky,2.06,AU,9522
28,saipan,15.1355,145.701,300.54,100,light rain,4.63,MP,2024687
29,georgetown,5.4112,100.3354,302.6,94,light rain,2.06,MY,9429
30,saint-philippe,-21.3585,55.7679,294.92,86,scattered clouds,5.89,RE,2127
31,hamilton,39.1834,-84.5333,298.7,72,clear sky,0.0,US,2005257
32,ribeira grande,38.5167,-28.7,294.69,85,clear sky,3.13,PT,2078208
33,bochum,51.4833,7.2167,289.47,78,few clouds,2.68,DE,2000339
34,springfield,37.2153,-93.2982,298.07,93,thunderstorm with heavy rain,6.69,US,5821
35,ushuaia,-54.8,-68.3,274.96,80,clear sky,1.03,AR,8303
36,invercargill,-46.4,168.35,282.05,76,overcast clouds,5.81,NZ,2008959
37,hawaiian paradise park,19.5933,-154.9731,300.88,75,few clouds,4.12,US,2079676
38,la passe,45.5549,-0.8967,292.28,79,broken clouds,1.23,FR,6452
39,hermanus,-34.4187,19.2345,282.48,68,scattered clouds,3.7,ZA,2006131
